title,rating,runtime,imdb_rating,tmdb_rating,meta_score,genre_1,genre_2,genre_3,description,director,stars,votes,gross
Love Actually,R,135,7.6,4.3,55,Comedy,Drama,Romance,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",Richard Curtis,"Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney,",517283,$59.70M
Home Alone,PG,103,7.7,8.8,63,Comedy,Family,NA,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.",Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard,",629713,$285.76M
National Lampoon's Christmas Vacation,PG-13,97,7.5,7.1,49,Comedy,NA,NA,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,Jeremiah S. Chechik,"Chevy Chase, Beverly D'Angelo, Juliette Lewis, Johnny Galecki,",213196,$71.32M
Elf,PG,97,7.1,6,66,Adventure,Comedy,Family,"Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit.",Jon Favreau,"Will Ferrell, James Caan, Bob Newhart, Zooey Deschanel,",300546,$173.40M
How the Grinch Stole Christmas,PG,104,6.3,2.5,46,Comedy,Family,Fantasy,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.",Ron Howard,"Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor,",280898,$260.04M
The Grinch,PG,85,6.4,2.5,51,Animation,Comedy,Family,A grumpy Grinch plots to ruin Christmas for the village of Whoville.,Yarrow Cheney,"Scott Mosier, Benedict Cumberbatch, Cameron Seely, Rashida Jones, Pharrell Williams,",85219,$270.62M
Die Hard,R,132,8.2,1.8,72,Action,Thriller,NA,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson,",924658,$83.01M
Home Alone 2: Lost in New York,PG,120,6.9,8.1,46,Adventure,Comedy,Crime,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.",Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, Catherine O'Hara,",389541,$173.59M
The Polar Express,G,100,6.6,6,61,Animation,Adventure,Comedy,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",Robert Zemeckis,"Tom Hanks, Chris Coppola, Michael Jeter, Leslie Zemeckis,",233258,$183.37M
It's a Wonderful Life,PG,130,8.6,6.9,89,Drama,Family,Fantasy,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell,",486479,NA
The Santa Clause,PG,97,6.6,1.5,57,Comedy,Drama,Family,"When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place.",John Pasquin,"Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd,",130393,$144.83M
White Christmas,NA,120,7.6,9,56,Comedy,Musical,Romance,A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,Michael Curtiz,"Bing Crosby, Danny Kaye, Rosemary Clooney, Vera-Ellen,",48751,$30.00M
Scrooged,PG-13,101,6.9,7.9,38,Comedy,Drama,Fantasy,"A selfish, cynical television executive is haunted by three spirits bearing lessons on Christmas Eve.",Richard Donner,"Bill Murray, Karen Allen, John Forsythe, John Glover,",112793,$60.33M
Spirited,PG-13,127,6.6,3,55,Comedy,Family,Musical,A musical version of Charles Dickens's story of a miserly misanthrope who is taken on a magical journey.,Sean Anders,"Will Ferrell, Ryan Reynolds, Octavia Spencer, Patrick Page,",46695,NA
Miracle on 34th Street,PG,114,6.6,2.7,NA,Drama,Family,Fantasy,A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.,Les Mayfield,"Richard Attenborough, Elizabeth Perkins, Dylan McDermott, J.T. Walsh,",42222,$17.19M
Jingle All the Way,PG,89,5.7,2.7,34,Adventure,Comedy,Family,"A father vows to get his son a Turbo Man action figure for Christmas. However, every store is sold out, and he must travel all over town and compete with everybody else in order to find one.",Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson,",113346,$60.57M
Klaus,PG,96,8.2,3.7,65,Animation,Adventure,Comedy,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Sergio Pablos,"Carlos Martínez López, Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso,",178753,NA
A Christmas Carol,PG,96,6.8,5.4,55,Animation,Adventure,Comedy,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth, Steve Valentine,",126638,$137.86M
Last Christmas,PG-13,103,6.5,4.7,50,Comedy,Drama,Fantasy,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year-round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn--that seems too good to be true.",Paul Feig,"Madison Ingoldsby, Emma Thompson, Boris Isakovic, Lucy Miller,",87409,$35.15M
Christmas with the Kranks,PG,99,5.5,3.6,22,Comedy,Family,NA,"With their daughter, Blair, away in Peru, Luther and Nora Krank decide to skip Christmas all together until she decides to come home, causing an uproar when they have to celebrate it at the last minute.",Joe Roth,"Tim Allen, Jamie Lee Curtis, Dan Aykroyd, M. Emmet Walsh,",55959,$73.78M
The Santa Clause 2,G,104,5.7,6.1,48,Comedy,Family,Fantasy,"Scott Calvin has been a humble Santa Claus for eight years, but it might come to an end if he doesn't find a Mrs. Claus.",Michael Lembeck,"Tim Allen, Spencer Breslin, Elizabeth Mitchell, Eric Lloyd,",62886,$139.24M
Miracle on 34th Street,NA,96,7.9,2.4,88,Comedy,Drama,Family,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.",George Seaton,"Edmund Gwenn, Maureen O'Hara, John Payne, Gene Lockhart,",53189,$2.65M
Four Christmases,PG-13,88,5.7,3.6,41,Comedy,Drama,Romance,A couple struggles to visit all four of their divorced parents on Christmas.,Seth Gordon,"Reese Witherspoon, Vince Vaughn, Mary Steenburgen, Robert Duvall,",78898,$120.15M
Home Alone 3,PG,102,4.6,4.2,NA,Action,Comedy,Crime,"Alex Pruitt, an 8-year-old boy living in Chicago, must fend off international spies who seek a top-secret computer chip in his toy car.",Raja Gosnell,"Alex D. Linz, Olek Krupa, Rya Kihlstedt, Lenny von Dohlen,",124554,$30.88M
The Muppet Christmas Carol,G,85,7.8,4.9,64,Comedy,Drama,Family,The Muppets present their own touching rendition of Charles Dickens' classic tale.,Brian Henson,"Michael Caine, Dave Goelz, Steve Whitmire, Jerry Nelson,",67536,$27.28M
Office Christmas Party,R,105,5.9,7.5,42,Comedy,NA,NA,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",Josh Gordon,"Will Speck, Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston,",86267,$54.77M
Feast of the Seven Fishes,NA,99,6.8,2.9,68,Comedy,NA,NA,"A slice of life story that follows a large Italian family on Christmas Eve as they prepare for the traditional Feast of the Seven Fishes, reminisce about the past, and seek love in the future.",Robert Tinnell,"Tony Bingham, Skyler Gisondo, Paul Ben-Victor, Jean Zarzour,",2884,NA
Bad Santa,R,92,7.1,5.4,70,Comedy,Crime,Drama,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,Terry Zwigoff,"Billy Bob Thornton, Bernie Mac, Lauren Graham, John Ritter,",152299,$60.06M
The Christmas Chronicles,PG,104,7,6,52,Adventure,Comedy,Family,"The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.",Clay Kaytis,"Kurt Russell, Darby Camp, Judah Lewis, Oliver Hudson,",81195,NA
The Nightmare Before Christmas,PG,76,7.9,1.7,82,Animation,Family,Fantasy,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey,",368946,$75.08M
Deck the Halls,PG,93,5,6.1,28,Comedy,Family,NA,Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space.,John Whitesell,"Matthew Broderick, Danny DeVito, Kristin Chenoweth, Kristin Davis,",32250,$35.09M
Best. Christmas. Ever!,TV-PG,82,4.4,2.6,34,Comedy,Romance,NA,Friendships are put to the ultimate test over a boastful holiday newsletter.,Mary Lambert,"Heather Graham, Brandy Norwood, Jason Biggs, Matt Cedeño,",8063,NA
It's a Wonderful Knife,R,87,5.3,1.8,52,Comedy,Horror,Mystery,"After saving her town from a psychotic killer, Winnie Carruthers' life is less than wonderful. When she wishes she'd never been born, she finds herself in a nightmare parallel universe where without her, things could be much, much worse.",Tyler MacIntyre,"Jane Widdop, Joel McHale, Justin Long, Jess McLeod,",3853,NA
A Christmas Story Christmas,PG,98,6.7,8.8,55,Comedy,Family,NA,"Follows the now-adult Ralphie as he returns to the house on Cleveland Street to give his kids a magical Christmas like the one he had as a child, reconnecting with childhood friends, and reconciling the passing of his Old Man.",Clay Kaytis,"Peter Billingsley, Erinn Hayes, River Drosche, Julianna Layne,",17394,NA
Santa's Slay,R,78,5.3,8.9,NA,Comedy,Fantasy,Horror,"Santa Claus is actually a demon who lost a bet with an angel, so he becomes the giver of toys and happiness. But when the bet is off, he returns to his evil ways.",David Steiman,"Bill Goldberg, Douglas Smith, Emilie de Ravin, Robert Culp,",11044,NA
Rudolph the Red-Nosed Reindeer,TV-G,47,8,7.7,NA,Animation,Adventure,Comedy,"A young reindeer Rudolph lives at the North Pole. His father is one of Santa's reindeer and it is expected that Rudolph will eventually be one too. However, he has a feature which is a setback and causes him to be ostracized: his red nose.",Larry Roemer,"Billie Mae Richards, Burl Ives, Larry D. Mann, Paul Soles,",36467,NA
How the Grinch Stole Christmas!,NA,26,8.3,3.7,NA,Animation,Comedy,Family,A grumpy hermit hatches a plan to steal Christmas from the Whos of Whoville.,Chuck Jones,"Ben Washam, Boris Karloff, June Foray, Dal McKennon,",57368,NA
The Naughty Nine,TV-PG,83,5.2,2.1,NA,Adventure,Comedy,Crime,"When Andy finds out he's on Santa's ""naughty list,"" he pulls together a group of ""naughty list"" kids to get the presents they think they deserve.",Alberto Belli,"Winslow Fegley, Deric McCabe, Derek Theler, Danny Glover,",1527,NA
A Christmas Carol,PG,100,7.8,6.7,NA,Drama,Family,Fantasy,A bitter old miser who rationalizes his uncaring nature learns real compassion when three spirits visit him on Christmas Eve.,Clive Donner,"George C. Scott, Frank Finlay, Angela Pleasence, Edward Woodward,",17502,NA
Little Women,PG,135,7.8,4.8,91,Drama,Romance,NA,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Greta Gerwig,"Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen,",234116,$108.10M
Fred Claus,PG,116,5.7,2.3,42,Comedy,Family,Fantasy,"Fred Claus, Santa's bitter older brother, is forced to move to the North Pole to help Santa and the elves prepare for Christmas in exchange for cash.",David Dobkin,"Vince Vaughn, Paul Giamatti, Elizabeth Banks, John Michael Higgins,",46958,$72.01M
Noelle,G,100,6.3,5.2,48,Comedy,Family,Fantasy,"Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet.",Marc Lawrence,"Anna Kendrick, Shirley MacLaine, Bill Hader, Kingsley Ben-Adir,",26007,NA
The Santa Clause 3: The Escape Clause,G,92,4.8,1.6,32,Adventure,Comedy,Family,"Santa, a.k.a. Scott Calvin, is faced with double-duty: how to keep his new family happy and how to stop Jack Frost from taking over Christmas.",Michael Lembeck,"Tim Allen, Martin Short, Elizabeth Mitchell, Eric Lloyd,",41887,$84.50M
